source,origin,destination,airline,flight_no,departure_date,lead_time_days,fare_class,base_fare,taxes,total_fare,currency,collected_at
DEMO_AUTHORIZED_API,DEL,BOM,6E,6E-DEMO2042,2026-10-26,45,ECONOMY,3888.69,1096.81,4985.5,INR,2026-09-11T23:53:12
DEMO_AUTHORIZED_API,DEL,BOM,6E,6E-DEMO2042,2026-10-26,30,ECONOMY,4098.65,1156.03,5254.69,INR,2026-09-11T23:53:12
DEMO_AUTHORIZED_API,DEL,BOM,6E,6E-DEMO2042,2026-10-26,21,ECONOMY,4263.3,1202.47,5465.76,INR,2026-09-11T23:53:12
DEMO_AUTHORIZED_API,DEL,BOM,6E,6E-DEMO2042,2026-10-26,15,ECONOMY,4246.53,1197.74,5444.27,INR,2026-09-11T23:53:12
DEMO_AUTHORIZED_API,DEL,BOM,6E,6E-DEMO2042,2026-10-26,7,ECONOMY,4353.35,1227.87,5581.22,INR,2026-09-11T23:53:12
DEMO_AUTHORIZED_API,DEL,BOM,6E,6E-DEMO2042,2026-10-26,1,ECONOMY,4728.27,1333.61,6061.88,INR,2026-09-11T23:53:12
DEMO_AUTHORIZED_API,DEL,BLR,AI,AI-DEMO803,2026-10-26,45,ECONOMY,4606.51,1299.27,5905.78,INR,2026-09-11T23:53:12
DEMO_AUTHORIZED_API,DEL,BLR,AI,AI-DEMO803,2026-10-26,30,ECONOMY,4789.71,1350.94,6140.66,INR,2026-09-11T23:53:12
DEMO_AUTHORIZED_API,DEL,BLR,AI,AI-DEMO803,2026-10-26,21,ECONOMY,5027.98,1418.15,6446.13,INR,2026-09-11T23:53:12
DEMO_AUTHORIZED_API,DEL,BLR,AI,AI-DEMO803,2026-10-26,15,ECONOMY,5134.59,1448.22,6582.81,INR,2026-09-11T23:53:12
DEMO_AUTHORIZED_API,DEL,BLR,AI,AI-DEMO803,2026-10-26,7,ECONOMY,5004.54,1411.54,6416.07,INR,2026-09-11T23:53:12
DEMO_AUTHORIZED_API,DEL,BLR,AI,AI-DEMO803,2026-10-26,1,ECONOMY,5189.3,1463.65,6652.95,INR,2026-09-11T23:53:12
DEMO_AUTHORIZED_API,BOM,DEL,6E,6E-DEMO1187,2026-10-26,45,ECONOMY,3916.56,1104.67,5021.24,INR,2026-09-11T23:53:12
DEMO_AUTHORIZED_API,BOM,DEL,6E,6E-DEMO1187,2026-10-26,30,ECONOMY,4014.14,1132.19,5146.34,INR,2026-09-11T23:53:12
DEMO_AUTHORIZED_API,BOM,DEL,6E,6E-DEMO1187,2026-10-26,21,ECONOMY,4209.28,1187.23,5396.52,INR,2026-09-11T23:53:12
DEMO_AUTHORIZED_API,BOM,DEL,6E,6E-DEMO1187,2026-10-26,15,ECONOMY,4196.83,1183.72,5380.55,INR,2026-09-11T23:53:12
DEMO_AUTHORIZED_API,BOM,DEL,6E,6E-DEMO1187,2026-10-26,7,ECONOMY,4255.72,1200.33,5456.05,INR,2026-09-11T23:53:12
DEMO_AUTHORIZED_API,BOM,DEL,6E,6E-DEMO1187,2026-10-26,1,ECONOMY,4342.73,1224.87,5567.6,INR,2026-09-11T23:53:12
DEMO_AUTHORIZED_API,DEL,HYD,6E,6E-DEMO417,2026-10-26,45,ECONOMY,3672.4,1035.81,4708.21,INR,2026-09-11T23:53:12
DEMO_AUTHORIZED_API,DEL,HYD,6E,6E-DEMO417,2026-10-26,30,ECONOMY,3844.35,1084.3,4928.66,INR,2026-09-11T23:53:12
DEMO_AUTHORIZED_API,DEL,HYD,6E,6E-DEMO417,2026-10-26,21,ECONOMY,3904.53,1101.28,5005.81,INR,2026-09-11T23:53:12
DEMO_AUTHORIZED_API,DEL,HYD,6E,6E-DEMO417,2026-10-26,15,ECONOMY,3860.58,1088.88,4949.46,INR,2026-09-11T23:53:12
DEMO_AUTHORIZED_API,DEL,HYD,6E,6E-DEMO417,2026-10-26,7,ECONOMY,3958.42,1116.48,5074.9,INR,2026-09-11T23:53:12
