origin,destination,route_weight
DEL,BOM,0.05714286
DEL,BLR,0.05523810
BOM,DEL,0.05238095
DEL,HYD,0.04952381
DEL,MAA,0.04666667
BOM,BLR,0.04380952
DEL,CCU,0.04095238
BOM,HYD,0.03809524
BLR,MAA,0.03523810
DEL,GOI,0.03333333
DEL,AMD,0.03142857
BOM,CCU,0.02952381
DEL,PNQ,0.02761905
BLR,DEL,0.02571429
HYD,BLR,0.02380952
MAA,DEL,0.02285714
DEL,COK,0.02190476
BOM,GOI,0.02000000
DEL,JAI,0.01904762
BLR,HYD,0.01809524
BOM,AMD,0.01714286
DEL,LKO,0.01619048
HYD,DEL,0.01523810
CCU,DEL,0.01428571
BLR,GOI,0.01333333
BOM,MAA,0.01238095
DEL,SXR,0.01238095
DEL,PAT,0.01142857
DEL,IXC,0.01142857
DEL,GAU,0.01142857
BOM,COK,0.01047619
BOM,PNQ,0.01047619
BOM,JAI,0.01047619
BLR,COK,0.00952381
BLR,CCU,0.00952381
HYD,MAA,0.00952381
HYD,CCU,0.00952381
MAA,BOM,0.00952381
MAA,BLR,0.00857143
CCU,BOM,0.00857143
CCU,BLR,0.00857143
GOI,DEL,0.00857143
GOI,BOM,0.00761905
AMD,DEL,0.00761905
AMD,BOM,0.00761905
COK,DEL,0.00761905
COK,BLR,0.00761905
JAI,DEL,0.00761905
LKO,DEL,0.00666667
PAT,DEL,0.00666667
